Profil,Disponibilité,Lieu_de_recherche,Points_forts,Compétence,Expérience,Contrat,Metier_regroupe,Experience_mois,Departement,candidat_id
Data Scientist,immédiate,10 - TROYES,Application des méthodes de machine learning dans BI Comprendre et utiliser les informations du Big Data Gestion de bases de données NoSQL Intégrer un Système de Gestion de Base de Données SGBD Programmation en Python,Application des méthodes de machine learning dans BI Avancé Docker Avancé Gestion de bases de données NoSQL Avancé Gestion de versions de logiciels de jeux Avancé GitHub Avancé Intelligence artificielle Avancé MySQL Avancé Programmation en Python Avancé Techniques dexploration de données data mining Avancé Visual Basic for Applications VBA Avancé,Stage de recherche de fin détude de Master II au laboratoire LINEACT CESI CESI Lyon France 2 Ans,CDI,Data Scientist,24.0,10,0
Information Security Management | Digital Transformation | System Dynamics | Data Science | Data Analysis | Big Data | IA|,immédiate,02 - LAON,Adapter les outils de traitement statistique de données Communiquer les résultats des études aux parties prenantes Définir et faire évoluer des procédés de traitement de linformation Plan de Prévention des Risques PPR Anglais,Conception et analyse denquête Économie du développement durable Modélisation et simulation,Manager de la sécurité dinformation ODDO BHF Saarbruck 3 Ans,CDD-alternance,Autre,36.0,02,1
Actuaire / Data Analyst,immédiate,31 - TOULOUSE,Développer des modèles mathématiques pour la création de produits dassurance ou dépargne Réaliser des analyses statistiques pour identifier les tendances de qualité Couverture santé prévoyance Progiciel de gestion SAS Statistiques Visual Basic for Applications VBA,Application des méthodes de machine learning dans BI Avancé Couverture santé prévoyance Intermédiaire Déploiement de services cloud cloud computing Intermédiaire Gestion de bases de données NoSQL Avancé Progiciel de gestion SAS Statistiques Avancé Programmation en Python Avancé Science actuarielle Utilisation de logiciels statistiques Visual Basic for Applications VBA Avancé,Actuaire Junior chez Swiss Life Prévoyance et Santé Junior chez Swiss Life Prévoyance et Santé LevalloisPerret 5 Ans,Intérim,Data Analyst,60.0,31,2
Data engineer,immédiate,64 - PAU,,Application des méthodes de machine learning dans BI Intermédiaire Business Intelligence BI Informatique décisionnelle Avancé Déploiement de services cloud cloud computing Avancé Gestion de bases de données NoSQL Avancé Gestion de données Avancé HDLVHDL Oracle Intermédiaire PLSQL Avancé Pratique du hippisme Progiciel de gestion Sage X3 Avancé Programmation en Python Intermédiaire Système de Gestion de Bases de Données SGBD Avancé Technologies HADOOP Avancé,MSc BIHAR Big Data Intelligence for Human Augmented Reality Bac5 et plus ou équivalents 4 Ans,CDI,Data Engineer,48.0,64,3
data scientist,immédiate,04 - DIGNE-LES-BAINS,,Algorithmique Avancé Déploiement de services cloud cloud computing Intermédiaire Intelligence artificielle Intermédiaire Java Débutant Programmation en Python Avancé,ingénieur IA Groupe COVEA Niort France 5 Ans,CDD-alternance,Data Scientist,60.0,04,4
Data Scientist - Analyst - IA,immédiate,03 - MOULINS,Machine learning MySQL Python R Spark SaprkR Pyspark,Algorithmique Analyse de données expérimentales Avancé Application des méthodes de machine learning dans BI Avancé Big data Analytics Avancé Conception de programmes de formation Avancé Économétrie Gestion de versions de logiciels de jeux Avancé Informatique Avancé Langages de programmation informatique Avancé Logiciel de traitement de texte Avancé Logiciels de gestion de base de données Avancé Logique mathématique Microsoft SQL Server Avancé Modélisation et simulation Avancé Modélisation statistique Programmation en Python Avancé Sciences économiques et sociales Sciences et techniques de lingénieur Avancé Système dexploitation Linux Technologies HADOOP Intermédiaire Utilisation de logiciels de tableur Avancé Utilisation de logiciels statistiques Avancé,Consultant Ausy SophiaAntipolis Nice 1 Ans,CDD-alternance,Data Scientist,12.0,03,5
Data Analyst,immédiate,27 - ÉVREUX,Faire preuve dautonomie Faire preuve de curiosité Faire preuve de réactivité Faire preuve de rigueur et de précision,Adapter les outils de traitement statistique de données Avancé Créer une documentation technique Avancé Développer une application en lien avec une base de données Intermédiaire Développer un logiciel un système dinformations une application Intermédiaire Réaliser des études et développements informatiques Avancé,Data Analyst Data Engineer AZ Analytics Courrensan 1 Ans,CDI,Data Analyst,12.0,27,6
"Data analyst, Data scientist, Data manager, Statisticien, Chargé d'études",immédiate,57 - METZ,,Adapter les outils de traitement statistique de données Intermédiaire Analyser exploiter structurer des données Intermédiaire Définir et faire évoluer des procédés de traitement de linformation,Chargé détudes ipsos gentilly 5 Ans,CDD,Data Analyst,60.0,57,7
"Docteur en Pharmacie d'officine, Ingénieur informaticien, chef de projet esanté, Data Scientist",immédiate,21 - DIJON,Être à lécoute faire preuve dempathie Faire preuve dautonomie Prendre des initiatives et être force de proposition Prendre une décision et lexpliquer Sadapter aux changements,Analyse de données expérimentales Architecture web Intermédiaire Argumentation commerciale Intermédiaire Business Intelligence BI Informatique décisionnelle Gestion administrative Débutant Homéopathie Avancé Médicaments cytotoxiques Pharmacologie Pharmacovigilance Débutant Phytothérapie Avancé,Chef de projet en intelligence artificielle Bac5 et plus ou équivalents 2 Ans,CDD,Data Scientist,24.0,21,8
"Très passionnée par l’ingénierie des données, axée sur les résultats, experte en extraction d’insights exploitables et en traitement et analyse des données. Data Engineer/Analyst/BI Consultant",immédiate,44 - NANTES,,Application des méthodes de machine learning dans BI Avancé Business Intelligence BI Informatique décisionnelle Avancé CSS Avancé Déploiement de services cloud cloud computing Avancé Docker Avancé Gestion de bases de données NoSQL Avancé Gestion de données Gestion des incidents Avancé HTML Avancé Information Technology Infrastructure Library ITIL Avancé Java Avancé JIRA Avancé JQuery Avancé Logique mathématique Microsoft Exchange Server Microsoft SQL Server MySQL Oracle PHP Pratique du basketball Programmation en Python Scala Script Shell Système dexploitation Unix Systèmes de gestion de base de données Avancé Techniques de négociation avancées Techniques de résolution de problèmes Avancé Technologies SPARK Framework,Data Analytics Engineer FranceParis 5 Ans,CDD-alternance,Data Engineer,60.0,44,9
Data Analyste,immédiate,64 - PAU,Anglais,Entretenir nettoyer un espace un lieu un local Entretenir un équipement une machine une installation Essuyer et ranger la vaisselle la verrerie les ustensiles de cuisine Nettoyer une salle de réception Surveiller les lieux et les biens et faire appliquer le règlement intérieur par les résidents locataires visiteurs,Développeuse backend Paris code 1 Ans,CDI,Data Analyst,12.0,64,10
Data Engeneer,immédiate,49 - ANGERS,,Concevoir un site web,Ingénieur détudes Data engineer Alten Arcueil ValdeMarne France 4 Ans,CDD,Autre,48.0,49,11
Ingénieur Data Science & Cloud Computing,immédiate,75 - PARIS 18,ai générative Déploiement de services cloud cloud computing Machine Learning et DevOps NLP Programmation en Python,Application des méthodes de machine learning dans BI Avancé Big data Analytics Avancé Business Intelligence BI Informatique décisionnelle Avancé Déploiement de services cloud cloud computing Avancé Docker Avancé Gestion de bases de données NoSQL Avancé GitLab Avancé Java Avancé Kubernetes Avancé Programmation en Python Avancé,Data Scientist Intern Assystem EOS Courbevoie France 4 Ans,CDD,Autre,48.0,75,12
Chef de projet SAP,immédiate,03 - MOULINS,Gestion de projet Recueillir et analyser les besoins client Allemand Anglais B Véhicule léger,Analyse de données expérimentales Centrales dachat Avancé Gestion administrative Logiciel de traitement de texte Avancé Merchandising Marchandisage Statistiques appliquées Utilisation de logiciels de tableur Avancé,MASTER EN SCIENCES DE GESTION DU MANAGEMENT Bac5 et plus ou équivalents 1 Ans,Intérim,Chef de projet/Scrum Master,12.0,03,13
Chargé d'Études Actuarielles | Modélisation des Risques | Tarification Santé & Prévoyance | Solvabilité II,immédiate,40 - MONT-DE-MARSAN,comptes de résultats Provisionnement Réaliser des calculs de rentabilité de produits dassurance ou dépargne Solvabilité tarification en assurance vie et non vie,Analyse de données expérimentales Avancé Connaissance des produits financiers Intermédiaire Économétrie Avancé Finance Intermédiaire Modélisation et simulation Avancé Science actuarielle Intermédiaire Utilisation de logiciels statistiques Intermédiaire,Ingénierie Statistique Economique de la Finance de lassurance et du Risque Bac5 et plus ou équivalents 3 Ans,CDI,Autre,36.0,40,14
A la recherche d'un emploi en tant que business analyst  / consultant en business intelligence,immédiate,75 - PARIS 10,,Cuire des viandes poissons ou légumes Doser des ingrédients culinaires Dresser des plats pour le service Préparer les viandes et les poissons Réaliser les mesures et les analyses identifier des nonconformités et réaliser des ajustements techniques Relever les données et les consigner dans les cahiers de laboratoire les bases de données les registres les comptes rendus,Amélioration et déploiement d’une base de données RH INRAE Institut National de Recherche pour lAgriculture lAlimentation et lEnvironnement Lyon France 1 Ans,CDI,Consultant BI,12.0,75,15
Ingénieur en développement JAVA,immédiate,74 - ANNECY,Faire preuve de curiosité Sadapter aux changements Travailler en équipe,Application web Avancé Architecture MVC Modèle Vue Contrôleur Avancé Framework Hibernate Avancé Framework Spring Avancé Java Avancé Outil Maven Avancé Utilisation de frameworks de test Avancé,Ingénieur en informatique CGI Toulouse 2 Ans,Intérim,Autre,24.0,74,16
Analyste financier / financière,immédiate,22 - SAINT-BRIEUC,,Analyse de données financières Analyse des risques financiers Étude prospective Gestion de projet Marketing Mercatique Modélisation économique,CONSULTANT EN STRATÉGIE MANAGEMENT ET ORGANISATION FREELANCE Paris 1 Ans,CDI,Autre,12.0,22,17
Développeuse BI,immédiate,75 - PARIS 18,Business Intelligence BI Informatique décisionnelle Langages de programmation informatique Mettre en place des outils daide à la décision Gestion de bases de données NoSQL QlikView,Alias studio tools Business Intelligence BI Informatique décisionnelle Gestion de bases de données NoSQL Intelligence artificielle Langages de programmation informatique Modélisation et simulation Oracle Professionnel SPSS Programmation en Python SharePoint Techniques dexploration de données data mining,Master Specialise En Business Intelligence Ufr Mim Metz Bac5 et plus ou équivalents 1 Ans,CDD-alternance,Autre,12.0,75,18
vendeuse conseil en magasin,immédiate,France,Vendre ou louer des produits ou des services Assurer le suivi des stocks en temps réel Organiser aménager un espace de vente,Aménagement despaces intérieurs Intermédiaire Argumentation commerciale Intermédiaire Décoration dintérieur Intermédiaire Gestion de linventaire Intermédiaire Logiciel de traitement de texte Intermédiaire Logiciels de gestion de base de données Mise à jour des connaissances en mécanique Intermédiaire Plomberie Intermédiaire,STAGE VENDEUSE CONSEILS EN MAGASIN ORCHESTRA CLAIRA 66 3 Ans,CDI,Autre,36.0,France,19
Consultant Informatique,immédiate,33 - BORDEAUX,Concevoir larchitecture dun système dun réseau Création de robots Automatisation Javascript Natif MySQL PHP,Algorithmique Avancé Apache Avancé Biologie Avancé Business Intelligence BI Informatique décisionnelle Avancé C Avancé CSS Avancé Finance Avancé Gestion des configurations Avancé Informatique industrielle Avancé Informatique scientifique et technique Avancé Langages de programmation informatique Avancé Logiciel de traitement de texte Avancé Modélisation et simulation Avancé Outils de traitement ou dintégration en animation 3D Avancé Paramétrage de logiciels Avancé Photoshop Avancé Progiciels de gestion intégrée dentreprise ERP Avancé Programmation logicielle Avancé Publication Assistée par Ordinateur PAO Avancé Réseaux informatiques et télécoms Avancé Sécurité des systèmes embarqués Avancé Suite bureautique LibreOffice Avancé Système de Gestion de Bases de Données SGBD Avancé Systèmes dexploitation informatique Avancé Systèmes dinformation de gestion Avancé Technologies de laccessibilité numérique Avancé Utilisation de logiciels de tableur Avancé XML Avancé,Directeur Informatique Selesis Studio PerpignanCette Expérience contient une pièce jointe 4 Ans,CDD,Autre,48.0,33,20
"Titulaire d'un Master en Conseil en Entreprise, je suis à la recherche d'une opportunité pour lancer ma carrière et mettre en pratique les compétences que j'ai acquises.",immédiate,02 - LAON,Analyser des données techniques pour optimiser les processus Communiquer auprès de ses clients internes et externes Faire preuve de curiosité Technologies de laccessibilité numérique Travailler en équipe,Ecrire une ou plusieurs langues étrangères Parler une ou plusieurs langues étrangères,Économie dentreprise et des marchés parcours type conseil en entreprise Bac5 et plus ou équivalents 5 Ans,Intérim,Autre,60.0,02,21
Ingénieur / Ingénieure d'études en recherche scientifique,immédiate,45 - ORLÉANS,,Analyse de données expérimentales Géodésie Gestion des habitats naturels Avancé HistoireGéographie Hydrographie Informatique Langages de programmation informatique Logiciel de gestion documentaire Photogrammétrie Sciences de linformation et de la communication Avancé Sciences de la vie et de la terre Système dInformation Géographique SIG Topographie Utilisation de logiciels de cartographie Utilisation de logiciels statistiques,STIC Sciences et Technologies de lInformation et de la Commu Bac5 et plus ou équivalents 4 Ans,CDD-alternance,Autre,48.0,45,22
À la recherche d'un emploi en Intelligence Artificielle et Apprentissage Profond (Machine Learning),immédiate,04 - DIGNE-LES-BAINS,Application des méthodes de machine learning dans BI Intelligence artificielle Langages de programmation informatique Programmation en Python Anglais,Application des méthodes de machine learning dans BI Intermédiaire Gestion de bases de données NoSQL Intermédiaire Intelligence artificielle Intermédiaire Java Langages de programmation informatique Avancé MySQL Intermédiaire Programmation en Python Avancé,Chercheur Stagiaire Université de Luxembourg Luxembourg 1 Ans,Intérim,Autre,12.0,04,23
"Responsable de maintenance, d'exploitation, de travaux",immédiate,49 - ANGERS,Faire preuve dautonomie Faire preuve de réactivité Prendre des initiatives et être force de proposition Travailler en équipe Apporter une assistance technique aux équipes,Argumentation commerciale Intermédiaire Automatisme Intermédiaire Chiffragecalcul de coût Intermédiaire Commande en gros Débutant Électricité Avancé Électricité basse tension Avancé Électricité haute tension Intermédiaire Électrotechnique Avancé Gestes et postures de manutention Avancé Gestion de linventaire Intermédiaire Gestion de Maintenance Assistée par Ordinateur GMAO Avancé Interprétation de données de tests électroniques Intermédiaire Logiciel de gestion clients Avancé Logiciels comptables Intermédiaire Méthodes et outils de résolution de problèmes Avancé Techniques daudit interne Intermédiaire,Responsable technique electricité divers E center Malakoff 92240 5 Ans,CDI,Autre,60.0,49,24
Manoeuvre de chantier,immédiate,26 - VALENCE,Faire preuve de persévérance Faire preuve de rigueur et de précision Travailler en équipe Engin de chantier CACES R 482 Depuis le 01012020 B Véhicule léger,Entretien de véhicules Avancé Gestes et postures de manutention Avancé Techniques culturales Débutant Techniques de soins aux arbres ou ceps Débutant Techniques de taille de végétaux Intermédiaire,Manœuvre CFM Solar Aubignosc 3 Ans,Intérim,Autre,36.0,26,25
Organisateur événementiel - Vendeur produits culturels et ludiques - Coach certifié (diplôme européen),immédiate,France,Faire preuve de rigueur et de précision Mettre en scène un spectacle Présenter et valoriser un produit ou un service Réaliser la mise en rayon Anglais,Analyse des besoins des clients Biographies livres familiaux Avancé Écriture de dialogue Avancé Écriture de scénario Avancé Guides pratiques loisirs Avancé Histoire de la musique Littérature Avancé Logiciel de traitement de texte Intermédiaire Pièces de théâtre Avancé Registre « humour » Avancé Registre dramatique Avancé Répertoire de musiques poprock Techniques de narration Avancé Utilisation de logiciels de tableur Intermédiaire,Organisateur événementiel Surdouessence Paris 1 Ans,CDI,Autre,12.0,France,26
A la recherche d'un CDI,immédiate,34 - MONTPELLIER,,Application des méthodes de machine learning dans BI Avancé Big data Analytics Intermédiaire Business Intelligence BI Informatique décisionnelle Avancé Déploiement de services cloud cloud computing Intermédiaire Java Intermédiaire Programmation en Python Avancé Technologies SPARK Framework Intermédiaire,Analyste de données Stage Gwenlake Rennes 1 Ans,CDD-alternance,Autre,12.0,34,27
Second capitaine marine marchande,immédiate,04 - DIGNE-LES-BAINS,,Chiffragecalcul de coût Intermédiaire Électricité Avancé Gestion budgétaire Intermédiaire Installation de téléphonie numérique Intermédiaire Logiciels de gestion dappels téléphoniques Intermédiaire Mécanique Mécatronique marine Avancé Navigation au long cours Avancé Réseaux Digital System for Mobile Communications DECT Intermédiaire Réseaux informatiques et télécoms Intermédiaire Réseaux Local Area Network LAN Avancé Réseaux Private Automatic Branch eXchange PABX Débutant Réseaux VoiesDonnéesImages VDI Intermédiaire Réseaux Wide Area Network WAN Intermédiaire Support client à distance Avancé Système de navigation embarqué Avancé,Responsable de projet architecture intégration réseauIIoT Bourbon Digital Innovation – Service IT Marseille navires offshore 1 Ans,CDD-alternance,Autre,12.0,04,28
