Nom_poste,Contrat,Description,Salaire,Experience,Entreprise
DBA SQL/Big Data (H/F),"CDI

Contrat travail","Dans le cadre d'un projet d'envergure avec un groupe international, nous recherchons un DBA Développeur SQL/Big Data passionné pour rejoindre notre équipe dynamique. Vous serez au cœur de l'administration et de la maintenance des serveurs de bases de données SQL Server, ainsi que du développement SQL et de l'accompagnement vers Google Cloud Platform.

Vos missions

En tant que DBA Développeur SQL/Big Data, vous serez responsable de :

Administration et maintenance des serveurs de bases de données SQL Server :
Gestion des autorisations d'accès
Maintenance des bases
Surveillance des jobs
Gestion des backups
Installation de nouvelles instances
Tuning et supervision avec DPA (Database Performance Analyser) de SolarWinds
Réplication des données (Réplication transactionnelle et Change Data Capture)
Maintenance des packages SSIS (Integration Services)
Développement SQL
Intervention d'optimisation auprès des développeurs
Reporting :
Business Objects (BO) : Maintenance des univers et gestion des droits d'accès
Reporting Services : Maintenance des serveurs, administration des droits et développement de rapports
Accompagnement du projet de migration vers Google Cloud Platform : Big Query / Google Data Studio
Compétences requises

Diplôme BAC+5 en informatique
Affinités avec les bases de données et maîtrise des domaines de la business intelligence, du big data et du cloud
Sens de l'organisation et rigueur",Salaire brut : Annuel de 45000.0 Euros à 65000.0 Euros sur 12.0 mois,5 An(s),INFORMATIS TECHNOLOGY SYSTM
Data analyst (H/F),"Intérim - 18 Mois

Contrat travail","Manpower ARMENTIERES recherche pour son client, un acteur du secteur des Industries manufacturières et production, un Data analyst (H/F)
 
-Collecter, analyser et interpréter des données provenant de diverses sources industrielles. 
-Développer et maintenir des tableaux de bord et des rapports pour suivre les performances et les indicateurs clés. 
-Collaborer avec les équipes de production et d'ingénierie pour identifier les opportunités d'amélioration des processus. 
-Utiliser des outils de data mining et de modélisation statistique pour prévoir les tendances et optimiser les opérations. 
-Assurer la qualité et l'intégrité des données. 
 
Issu(e) d'un diplôme en statistiques, mathématiques, informatique ou domaine connexe, vous présentez une expérience préalable en analyse de données dans un environnement industriel. 
-Maîtrise des outils d'analyse de données (ex : SQL, Python, R). 
-Excellentes compétences en communication et capacité à travailler en équipe. 
-Capacité à résoudre des problèmes complexes et à prendre des décisions basées sur les données.",Salaire brut : Autres,2 An(s),MANPOWER FRANCE
Contrôle de gestion données sociales RH/Data Analyst F/H,"CDI

Contrat travail","LHH Recruitment Solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client un Contrôleur de gestion données sociales RH/Data Analyst (h/f) basé à Tours.

En tant qu'Analyste de données sociales, vous intervenez pour accompagner l'organisation dans l'optimisation de sa politique RH. Vous accompagnez la direction RH dans la mise en place de données, leur analyse et le déploiement d'outils performants pour répondre aux ambitions de développement et de transformation du groupe.

En tant qu'analyste de données sociales, vous êtes responsable de la disponibilité, la collecte, la supervision, l' analyse et l'interprétation des données sociales.

Vos missions :


 - Mettre en place et piloter des indicateurs de données sociales RH
 - Recueillir, analyser et interpréter les données sociales provenant de sources diverses
 - Mettre en place des tableaux de bord sociaux structurés et automatisés pour suivre les tendances et les indicateurs clés de performance sociale
 - Contrôler la cohérence et la fiabilité des données sociales en assurant leur intégrité et conformité réglementaires
 - Analyser les écarts entre les prévisions et les réalisations et proposer des actions correctives
 - Développer des modèles automatiques pour analyser les données RH.
 - Créer et maintenir des tableaux de bord RH pour suivre les indicateurs clés (KPI) et les tendances sociales
 - Répondre aux demandes ponctuelles d'informations.
 - Présenter les analyses et recommandations aux différentes parties prenantes pour assurer une prise de décision éclairée.
 - Proposer et mettre en œuvre des outils à l'aide de PowerBI

De formation supérieure bac +4/5 dans l'analyse de données ou RH ou Finances, vous avez une expérience de 3 à 5 ans en analyse de données sociales, contrôle de gestion sociale, contrôle de gestion.

À l'aise avec les outils informatiques, vous avez une parfaite maitrise d'Excel (éventuellement VBA), Une bonne connaissance des outils de présentation et de l'outil informatique au sens large et notamment avec PowerBI.

Une parfaite connaissance des outils et méthodes d'analyse de la performance, et une appétence pour les plateformes d'intelligence artificielle.

Ouverture d'esprit, capacité à travailler en équipe sont également des qualités pour faciliter les interactions nécessaires pour mener à bien ces missions.

Vous aimez découvrir des environnements nouveaux et êtes force de propositions.

Anglais parlé et écrit indispensable.

Pour faire la différence : www.lhh.com",Salaire brut : Annuel de 40000.0 Euros à 45000.0 Euros sur 12.0 mois,3 An(s) - analyse données sociales...,ADECCO
Comptable /Data contrôleur (h/f),"CDI

Contrat travail","LHH Recruitment Solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client, Cabinet d'Expertise Comptable à taille humaine reconnu pour la qualité de ses prestations, un assistant comptable H/F en CDI. Dans le cadre d'un développement de clients et de maintien d'une charge de travail équitable pour les collaborateurs en poste, notre client renforce son équipe d'assistants .es.

Notre client a développé des solutions digitales pour faciliter la gestion des dossiers clients ce qui permet à son équipe de ce recentrer sur la qualité de son travail sans augmentation du portefeuille.

Envie de travailler à Quimper, au sein d'une organisation où la confiance et la responsabilisation permettent à chaque collaborateur de s'épanouir dans un climat convivial et de respect. Mise en place accord télétravail à raison de un jour par semaine.

Au sein du pôle de saisie , vous venez renforcer une équipe de 9 collaborateurs pour la tenue des dossiers du cabinet.
Accompagné (e) par une responsable du pôle pour votre intégration , vous pourrez ainsi monter en compétences à votre poste
Vous assurez des missions de tenue comptable, déclaration des TVA et mise en place d'un nouveau logiciel de gestion.
Suivant vos envies et compétences vous pouvez aussi réaliser des travaux de révision comptable.
Vous gérez en autonomie votre travail et le lien avec le client.

Rémunération suivant profil base 39H 


De formation supérieure en comptabilité (BAC+2 minimum), vous pouvez justifier d'une première expérience en comptabilité ou d'un apprentissage sur poste similaire ou en entreprise .
Vous êtes à l'aise avec les outils informatiques et le digital !
Vous avez l'esprit d'équipe et de bonnes qualités relationnelles ( bref vous êtes sympathique! ) Vous recherchez une structure avec des valeurs humaines et dynamique , n'hésitez plus, postulez !

Contact pour ce dossier : Céline Salaun, principale pôle finance secteur Bretagne Ouest.",Salaire brut : Salaire selon profil,1 An(s),ADECCO FRANCE
Ingénieur Data GCP Confirmé (H/F),"CDI

Contrat travail","Sous la responsabilité du manager Data/IA, au coeur de la transformation du groupe, vous serez le pilier de notre future Data Platform sur GCP. Vous travaillerez en synergie avec le Data Product Owner pour transformer les besoins métiers en solutions data performantes et créatrices de valeur. 

Vos missions sont les suivantes :

1. Structuration d'un datalake/datawarehouse :
Vous serez responsable de la mise en place d'un datalake orienté sur le stockage de données brutes et semi-structurées, ainsi que d'un datawarehouse (principalement via BigQuery) pour supporter les besoins analytiques et opérationnels du groupe.
Vous travaillerez sur l'intégration de données issues de diverses applications métiers, bases de données et systèmes tiers, avec une approche modulaire et évolutive.

2. Gestion et transformation des données :
Vous développerez et maintiendrez des pipelines de données adaptés à la fois au traitement batch et streaming, et définirez les choix d'outils d'ELT les plus appropriés, tels que DBT Cloud, Fivetran, Talend, Airflow en complémentarité des services GCP.
Vous participerez à la définition et à la mise en oeuvre des standards de gouvernance des données (catalogage, sécurité, accessibilité, conformité RGPD).

3. Leadership technique et bonnes pratiques :
Votre expertise permettra de standardiser les pratiques de développement : de la mise en place des normes de codage et tests/validations à l'amélioration continue de la documentation et du versioning. En s'appuyant sur GitLab, vous assurerez une gestion efficace du cycle de vie des applications, avec des pipelines CI/CD automatisés.
Vous veillerez à la sécurité, l'observabilité et à l'optimisation des coûts liés à la plateforme en exploitant les services managés de GCP. 
 Vous avez une passion pour les données, une expertise confirmée sur Google Cloud Platform (GCP) et souhaitez jouer un rôle clé dans la transformation data & IA d'une entreprise dynamique ? Ce poste de Data Ingénieur est fait pour vous !

Nous recherchons un Data Ingénieur avec au moins 4 ans d'expérience et ayant une maîtrise avérée des services data de GCP (Cloud Storage, BigQuery, Dataflow, Cloud Functions, Cloud Run, Workflow API, Google Cloud Composer, Datastream). 
La maîtrise de Python, SQL, GitLab, Docker et Kubernetes ainsi qu'une bonne compréhension des pratiques DevOps sont également attendues. La connaissance de Terraform est un plus.
Votre capacité à communiquer de manière pédagogique, votre esprit d'équipe, votre autonomie et votre sens de l'initiative compléteront vos compétences techniques pour faire de vous le profil idéal.

Dès votre arrivée, un parcours d'intégration sur mesure est mis en place pour vous offrir les meilleures conditions de réussite.

Poste à pourvoir dès que possible
Rémunération selon profil 
Vos avantages : Tickets restaurants, avantages CSE, Mutuelle, Prévoyance, RTT (13 jours), Mécénat de compétences, Congés proche-aidant, moment de cohésion interne...",Salaire brut : Annuel de 30000.0 Euros à 40000.0 Euros sur 12.0 mois,5 An(s),SOCIETE DE FORMATIQUE ET FINANCIERE
Data Engineer (H/F),"CDI

Contrat travail","Chez Effy, la data est le pilier qui permet de guider toutes les décisions de l'entreprise et de construire la stratégie sur le long-terme.

L'équipe Data est une équipe transverse qui interagit avec tous les métiers, au niveau stratégique et opérationnel. L'équipe a pour mission de collecter, retraiter et modéliser toutes les données pour procurer à chaque métier des indicateurs fiables et pertinents et leur permettre de :

Suivre leurs performances en direct
Prendre des décisions rapides et toujours basées sur les données
Construire leurs stratégies à moyen et long-terme (plan de chasse, investissement média, incentives)
Présenter aux métiers des analyses poussées pour leur permettre de prendre du recul et de mieux saisir les opportunités
Optimiser la performance de l'entreprise grâce à des algorithmes de machine learning (e.g. scoring des utilisateurs, la prévision de churn)
Vous serez entouré de business analysts, de data scientist, de data engineers ainsi que de l'ensemble de l'équipe digitale, tant sur le point fonctionnel (product managers, product owners.), que sur le plan technique (architecte, développeurs, cloud.) et pourrez ainsi développer vos compétences business et techniques.

Au sein de l'équipe data, vous aurez une vision exhaustive des rouages de l'entreprise et de ses facteurs clés de succès.

Les missions qui vous seront attribuées :

La définition et le développement d'une architecture Data
La collecte multi-source des données
L'automatisation des flux de données
La prise en compte du contexte réglementaire quant à la récolte et à l'accès aux données (RGPD)
La collaboration et la communication avec les équipes internes/externes
Extraire, uniformiser et structurer les données depuis notre datalake
Maitriser la modélisation des données dans un datalake pour assurer la bonne exécution de ses traitements
S'assurer de la fiabilité des données utilisées
Mettre en place des flux de données entre les systèmes en ingestion et en exposition (batch, API, temps réel .)
Comprendre l'architecture Datalake dans son ensemble et préconiser des adaptations pour le déploiement et le traitement de ses modèles
Qualifications
Vous avez un minimum de 2 ans d'expérience en data engineering
L'open data est votre dada
Maîtrise de Python et de différentes technologies autour des flux de données : Sql, Bigquery, Airflow, Consommation d'API.
Autres connaissances souhaitées :

Cloud: GCP, Composer, Docker
Base de données : PostgreSQL, MySql,
Eventing : Pub/sub.","Salaire brut : Annuel de 65000.0 Euros sur 12.0 mois
Mutuelle
Chèque repas",2 An(s),EFFY
Data analyst Contrôle de gestion (H/F) Stage ou alternance (H/F),"CDD - 12 Mois

Contrat apprentissage","Dans le cadre du développement d'un nouveau service (Mandats CEE), vous serez amené à travailler sur les outils de pilotage et le suivi opérationnel des dossiers.

1. Développement : Mise en place et optimisation d'outils de suivi des performances

Concevoir et développer des tableaux de bord et autres outils de suivi des performances afin de monitorer les indicateurs clés de performance (KPI) du service
Analyser les données pour identifier les axes d'amélioration et proposer des solutions adaptées pour optimiser les processus.
Collaborer avec les équipes opérationnelles pour intégrer les nouveaux outils dans les systèmes existants.

2. Opérations : Soutien au pilotage des équipes commerciales, mise en place de process automatisant certaines activités, gestion logistique

Apporter un soutien analytique et opérationnel aux équipes pour améliorer leur efficacité et atteindre leurs objectifs.
Concevoir et mettre en place des processus d'automatisation pour réduire les tâches manuelles et optimiser les opérations.

3. Stratégie : Analyse des performances, mise en place d'indicateurs de satisfaction

Analyser les données commerciales pour évaluer la performance des différentes offres et identifier les opportunités de croissance.
Contribuer à l'évaluation de la satisfaction client par l'analyse des feedbacks et des enquêtes de satisfaction, et proposer des actions correctives ou préventives.
Participer à l'étude et au développement de nouvelles offres en fonction des tendances du marché et des besoins des clients.
Qualifications
Formation : Bac+4/5 en école de commerce, d'ingénieur, ou université avec une spécialisation en analyse de données, stratégie ou gestion de projets vous recherchez un stage de 4 à 6 mois ou une alternance préférablement avec un rythme 3 semaines/1 semaine ou 4 jours/1 jour

Compétences :

Connaissance des outils de Business Intelligence (Power BI, Tableau, etc.).
Bonne connaissance des outils de gestion de données (Excel, SQL).
Capacité à analyser et interpréter des données complexes.
Compétences en gestion de projet
Qualités personnelles :

Rigueur, esprit d'analyse et synthèse.
Esprit d'équipe et capacité à collaborer avec des équipes pluridisciplinaires.
Autonomie et proactivité dans la réalisation des missions confiées.","Salaire brut : Mensuel de 1171.0 Euros à 1200.0 Euros sur 12.0 mois
Chèque repas
Mutuelle",Débutant accepté,EFFY
Data Analyst (H/F),"CDI

Contrat travail","RS Univers Consulting recherche actuellement un Data Analyst talentueux pour rejoindre notre équipe dynamique. Si vous êtes passionné par l'analyse de données et souhaitez contribuer à des projets innovants, nous aimerions vous rencontrer !

Profil recherché :

Diplôme en statistiques, informatique, mathématiques ou domaine connexe.
Expérience professionnelle en analyse de données.
Maîtrise des outils d'analyse de données (SQL, Excel, Tableau, Power BI, etc.).
Connaissance des langages de programmation comme Python ou R.
Bonnes compétences en communication et esprit d'équipe.
Pourquoi nous rejoindre ?

Environnement de travail stimulant.
Opportunités de développement professionnel.
Package salarial attractif et avantages sociaux compétitifs.
Envoyez votre CV et une lettre de motivation à l'adresse suivante : contact@rsuniversconsulting.com. Veuillez indiquer ""Candidature Data Analyst"" dans l'objet de votre email.",Salaire brut : Mensuel de 2500.0 Euros sur 12.0 mois,Débutant accepté,RS UNIVERS CONSULTING
Data Analyste / Développeur BIG DATA Sénior (H/F),"CDI

Contrat travail","Vous êtes passionné(e) par le Décisionnel, le Big Data et souhaitez diversifier vos compétences BI DATA afin d'être toujours à la pointe des nouvelles technologies ?
Vous avez déjà une très solide expérience sur un ou plusieurs outils de Business Intelligence?
Ce poste peut vous intéresser !
Fonctions et responsabilités
Analyste DATA expérimenté, vous intégrez l'équipe Data chez notre client et participez à toutes les phases de mise en œuvre d'un projet DATA : de l'analyse du besoin client à la proposition et à la mise en place de la solution technique.
Vous pouvez donc intervenir sur les missions suivantes :
- Recueillir les besoins, mener les ateliers, rédiger les comptes rendus d'ateliers ou de réunions client,
- Concevoir les solutions et les mettre en œuvre dans le respect de la satisfaction client et des engagements (budget, planning),
- Participer à l'élaboration du cahier des charges et rédiger les spécifications,
- Réaliser des développements complexes et encadrer d'autres développeurs,
- Réaliser les tests de validation avant livraison,
- Contrôler la qualité des livrables,
- Réaliser la veille technologique sur votre domaine d'intervention, communiquer les évolutions technologiques auprès des experts de votre filière et capitaliser,
- Former les utilisateurs,
Profil recherché : 
- Diplômé(e) Bac+5, d'une Ecole d'Ingénieur ou de formation Universitaire, Vous justifiez d'au moins 5 ans d'expérience en tant qu'Analyste ou Concepteur/Développeur DATA/BIG DATA.
Dans ce cadre, vous maîtrisez l'un des outils décisionnels DATA du marché :
- SGBD : Oracle, DB2 BLU, SQL Server, Teradata
- ETL : Informatica, Talend, Information Server, Datastage, SSIS, Teradata
- Outils de reporting : Power BI, SAP BO, SAP BI4, Cognos, Microstrategy, SSRS
- Analyses de données : QlikView, QlikSense, Tableau

- Capacité à travailler en autonomie ou en équipe
- Capacité d'adaptation
- Curiosité et rigueur
- Maitrise de l'anglais est un très grand atout.",Salaire brut : Annuel de 40000.0 Euros à 450000.0 Euros sur 12.0 mois,5 An(s),OPENSILOG-SAS
Chef de projet DATA (H/F),"CDI

Contrat travail","Vous souhaitez nous accompagner dans notre croissance autour de la DATA :

Vos missions :

Piloter un portefeuille de projets BI / DATA , en mode AGILE ;
Organiser et planifier la réalisation de projets BI, depuis son chiffrage jusqu'à la mise en production.

Votre profil :

Vous disposez de plusieurs expériences de conduite de projets BI/Data, en mode agile ;
Vous êtes force de proposition et doté d'un bon relationnel ;
Vous maitrisez à l'oral et à l'écrit la langue de Molière et la langue de Shakespeare.

Vous voulez travailler dans une entreprise à taille humaine où l'humain a réellement de l'importance.
Venez nous rencontrer au jobdating Salon des Talents le 25 JUIN à Neuilly sur Seine. Inscription sur Mes Evènements Emploi","Salaire brut : Annuel de 35000.0 Euros à 70000.0 Euros sur 12.0 mois
Primes
CE",7 An(s),PREREQUIS
